id,file_name,audio_path,gender,audio_duration,reference_raw,reference_normalized,prediction_raw,inference_time,rtf,status,error
1660,16142317535120109527.wav,/content/drive/MyDrive/persian_asr_llm_error_propagation/data/test_audio/test/16142317535120109527.wav,MALE,15.78,رمانتیسم عنصر عظیمی از جبرگرایی فرهنگی داشت که از نویسندگانی نظیر «گوته»،‌ «فیشته» و «اشلگل» نشأت گرفته بود.,رمانتیسم عنصر عظیمی از جبرگرایی فرهنگی داشت که از نویسندگانی نظیر گوته فیشته و اشلگل نشأت گرفته بود,رومانتیزم اثر عظیمی از جعبگرایی فرهنگی داشت که از نویسندگان نزیر گوته، فیشته و شش...,2.9761368429999493,0.1886018278200221,ok,
1660,1781511852652254241.wav,/content/drive/MyDrive/persian_asr_llm_error_propagation/data/test_audio/test/1781511852652254241.wav,MALE,18.42,رمانتیسم عنصر عظیمی از جبرگرایی فرهنگی داشت که از نویسندگانی نظیر «گوته»،‌ «فیشته» و «اشلگل» نشأت گرفته بود.,رمانتیسم عنصر عظیمی از جبرگرایی فرهنگی داشت که از نویسندگانی نظیر گوته فیشته و اشلگل نشأت گرفته بود,رومانتیسم انصار عظیمی از جبرگرای فرهنگی داشت که از نویسندگانی نظیر گوته، فیشته و اشلگل نشعت گرفته بود.,3.174118687000373,0.1723191469598465,ok,
1661,17884455520267419585.wav,/content/drive/MyDrive/persian_asr_llm_error_propagation/data/test_audio/test/17884455520267419585.wav,MALE,12.06,او رقمی برای این کاهش‌ها تعیین نکرد و گفت که بر اساس بازده اقتصادی چین صورت خواهد گرفت.,او رقمی برای این کاهش‌ها تعیین نکرد و گفت که بر اساس بازده اقتصادی چین صورت خواهد گرفت,او رقمی را برای این کاهش ها تعین نکرد و گفت که بر اساس بازده اقتصادی چین صورت خواهد گرفت,2.633021215999179,0.2183268006632818,ok,
1661,18195928095619175556.wav,/content/drive/MyDrive/persian_asr_llm_error_propagation/data/test_audio/test/18195928095619175556.wav,MALE,12.36,او رقمی برای این کاهش‌ها تعیین نکرد و گفت که بر اساس بازده اقتصادی چین صورت خواهد گرفت.,او رقمی برای این کاهش‌ها تعیین نکرد و گفت که بر اساس بازده اقتصادی چین صورت خواهد گرفت,او رقمی برای این کاهش ها تعییم مکرد و گفت که بر اساس بازه اقتصادی چین صورت خواهد گرفت,3.376863622000201,0.2732090309061651,ok,
1661,3445652419213634093.wav,/content/drive/MyDrive/persian_asr_llm_error_propagation/data/test_audio/test/3445652419213634093.wav,MALE,12.9,او رقمی برای این کاهش‌ها تعیین نکرد و گفت که بر اساس بازده اقتصادی چین صورت خواهد گرفت.,او رقمی برای این کاهش‌ها تعیین نکرد و گفت که بر اساس بازده اقتصادی چین صورت خواهد گرفت,او رقمی برای این کاهش ها تغییر تعیین نکرد و گفت که بر اساس بازده اقتصادی چین صورت خواهد گرفت,2.995880350000334,0.2322387868217313,ok,
1662,12065679067151099292.wav,/content/drive/MyDrive/persian_asr_llm_error_propagation/data/test_audio/test/12065679067151099292.wav,MALE,12.24,آلیاژها اساساً‌ ترکیبی از دو یا چند فلز می‌باشند. بیاد داشته باشید که عناصر بسیاری در جدول تناوبی وجود دارند.,آلیاژها اساساً ترکیبی از دو یا چند فلز می‌باشند بیاد داشته باشید که عناصر بسیاری در جدول تناوبی وجود دارند,آلیهاش ها انساسان ترکیبی از دو یا چند فلز می باشند. بیاد داشته باشید که انسطور بسیار در جدبال تنوابی وجود دارند.,3.54979760400056,0.2900161441176928,ok,
1662,12936564214122456232.wav,/content/drive/MyDrive/persian_asr_llm_error_propagation/data/test_audio/test/12936564214122456232.wav,MALE,15.42,آلیاژها اساساً‌ ترکیبی از دو یا چند فلز می‌باشند. بیاد داشته باشید که عناصر بسیاری در جدول تناوبی وجود دارند.,آلیاژها اساساً ترکیبی از دو یا چند فلز می‌باشند بیاد داشته باشید که عناصر بسیاری در جدول تناوبی وجود دارند,آلیاش ها اساسا ترکیبی از دو یا چند فلز می باشند بیاد داشته باشید که اناثر بسیاری درجت ول تناببی وجود دارند,3.122331382000084,0.2024858224383971,ok,
1662,3788003274493424027.wav,/content/drive/MyDrive/persian_asr_llm_error_propagation/data/test_audio/test/3788003274493424027.wav,MALE,14.16,آلیاژها اساساً‌ ترکیبی از دو یا چند فلز می‌باشند. بیاد داشته باشید که عناصر بسیاری در جدول تناوبی وجود دارند.,آلیاژها اساساً ترکیبی از دو یا چند فلز می‌باشند بیاد داشته باشید که عناصر بسیاری در جدول تناوبی وجود دارند,آلیاش ها اساسا ترکیب از دو یا چند فلز می باشند. بیاد داشته باشید که اناثور بسیار در جدول تنوابی وجود دارند.,3.760474183000042,0.2655702106638448,ok,
1663,13563842687849372344.wav,/content/drive/MyDrive/persian_asr_llm_error_propagation/data/test_audio/test/13563842687849372344.wav,MALE,14.1,در Cochamó - مقصد برتر کوهنوردی در شیلی است، که به یوسمیتی آمریکای جنوبی معروف است و انواع مختلف دیوارها و صخره‌های گرانیتی دارد.,در cochamó - مقصد برتر کوهنوردی در شیلی است، که به یوسمیتی آمریکای جنوبی معروف است و انواع مختلف دیوارها و صخره‌های گرانیتی دارد,مقصد برتر کوهنوردی در شیلی است که به یوسمیتی امریکای جنوبی معروف است و انواع مختلف دیوارها و سخراهای گرانیتی دارد,3.2833106440002666,0.2328589109220047,ok,
1664,5654348335172859734.wav,/content/drive/MyDrive/persian_asr_llm_error_propagation/data/test_audio/test/5654348335172859734.wav,MALE,12.78,دو پودر خشک را مخلوط کنید و سپس با دستان خشک و تمیز آنها را فشار دهید تا به‌ توپی در آیند.,دو پودر خشک را مخلوط کنید و سپس با دستان خشک و تمیز آنها را فشار دهید تا به توپی در آیند,دو پودر خوش را مخلوط کنید و سپس با دستان خوشک و تمیز آنها را فشار دهید تا به توپی در آیند,2.7848595659997954,0.2179076342722844,ok,
1664,8562385712119879221.wav,/content/drive/MyDrive/persian_asr_llm_error_propagation/data/test_audio/test/8562385712119879221.wav,MALE,9.84,دو پودر خشک را مخلوط کنید و سپس با دستان خشک و تمیز آنها را فشار دهید تا به‌ توپی در آیند.,دو پودر خشک را مخلوط کنید و سپس با دستان خشک و تمیز آنها را فشار دهید تا به توپی در آیند,دو پودر خشک را مخلوط کنید و سپس با دستان خشک و تمیز آنها را فشار دهید تا به توپی در آیند,3.5381997800000136,0.3595731483739851,ok,
1664,8594704718620539665.wav,/content/drive/MyDrive/persian_asr_llm_error_propagation/data/test_audio/test/8594704718620539665.wav,MALE,12.0,دو پودر خشک را مخلوط کنید و سپس با دستان خشک و تمیز آنها را فشار دهید تا به‌ توپی در آیند.,دو پودر خشک را مخلوط کنید و سپس با دستان خشک و تمیز آنها را فشار دهید تا به توپی در آیند,دو پودر خوشک را مخلوط کنید و سپس با دستان خوشک و تمیز آنها را فشار دهید تا به توپی در آیند,3.0887866619996203,0.2573988884999683,ok,
1665,10039392309700583023.wav,/content/drive/MyDrive/persian_asr_llm_error_propagation/data/test_audio/test/10039392309700583023.wav,MALE,16.98,این سند بر اساس این درز اطلاعاتی است و به اختلاف مرزی مربوط می‌شود، که در آن فلسطین خواستار مرزبندی طبق شرایط قبل از جنگ شش‌روزه 1967 است.,این سند بر اساس این درز اطلاعاتی است و به اختلاف مرزی مربوط می‌شود که در آن فلسطین خواستار مرزبندی طبق شرایط قبل از جنگ شش‌روزه ۱۹۶۷ است,این سنت بر اساس این درز اطلاعاتی است و به اختلاف مرزی مربوط می شود که در آن فلسطین خواستار مرزبندی تقوی شرایط قبل از جنگ 16 1967 است,3.558016625000164,0.2095416151354631,ok,
1665,15984043101101160472.wav,/content/drive/MyDrive/persian_asr_llm_error_propagation/data/test_audio/test/15984043101101160472.wav,MALE,19.8,این سند بر اساس این درز اطلاعاتی است و به اختلاف مرزی مربوط می‌شود، که در آن فلسطین خواستار مرزبندی طبق شرایط قبل از جنگ شش‌روزه 1967 است.,این سند بر اساس این درز اطلاعاتی است و به اختلاف مرزی مربوط می‌شود که در آن فلسطین خواستار مرزبندی طبق شرایط قبل از جنگ شش‌روزه ۱۹۶۷ است,این سنت در اساس این درز اطلاعاتی است و به اختلاف مرزی مربوط می شود که در آن فلسطین خواستار مرزبندی طبق شرایط قبل از جنگ شش روزه ۱۹۶۷ است.,4.057592089999616,0.204928893434324,ok,
